OTU_ID	GreenGene_ID	R1	R2	SS
ASV68	2534	98.3333333333333	44	2
ASV1952	18609	9	15	4.5
ASV201	32687	5.66666666666667	9	116
ASV69	33376	42	22.5	10
ASV1205	56542	32	98	368
ASV5	59347	965.5	243	5.5
ASV626	65433	21	126	147
ASV81	97561	5.5	4.75	12.75
ASV1161	113658	1	4.5	15
ASV47	115333	22	16	67
ASV140	131314	9	20	93
ASV98	138506	88	66.6666666666667	13.3333333333333
ASV405	139405	4	4	20
ASV128	141305	37	59	53
ASV28	141733	26.5	21.5	23
ASV532	149540	9.5	27	330.5
ASV304	153212	31.6666666666667	332.333333333333	40
ASV353	155917	7.33333333333333	5.66666666666667	29.6666666666667
ASV1265	172221	4.5	7	45.5
ASV603	203403	4	5	10
ASV77	205130	79	68	4
ASV531	210865	6	7	2
ASV1214	213375	8.33333333333333	3.66666666666667	112.333333333333
ASV1708	215943	2	38	7
ASV33	235519	16	36.6666666666667	60.6666666666667
ASV812	235521	4	3.5	3.5
ASV85	238896	84	52	309.5
ASV199	240444	202.5	35.5	32
ASV883	242145	10.5	7.5	14
ASV256	242568	41.5	37.5	91
ASV621	243760	3.5	50.5	642
ASV1709	244050	2	4	14
ASV544	249437	4.5	3.5	1
ASV278	253298	12	34	860
ASV399	253734	3.5	6	10.5
ASV169	253948	24	15.3333333333333	74
ASV1469	259155	5	6.5	14.5
ASV364	271514	6	10	83.5
ASV54	278471	103.333333333333	85.6666666666667	49
ASV273	303607	42.5	20.5	27.5
ASV1794	330902	3.33333333333333	11.6666666666667	4
ASV132	332041	9	16.5	33
ASV1241	349891	5.5	24.5	61
ASV78	350596	69.5	208.5	84
ASV104	356762	10	5.33333333333333	13.6666666666667
ASV1781	510574	6.33333333333333	22.6666666666667	4
ASV76	513102	8.5	6	25
ASV48	513834	23	3.5	1.5
ASV46	515309	20.5	31.5	77
ASV1218	525955	3	10.6666666666667	84.3333333333333
ASV640	527118	7	11.5	3.5
ASV2030	528226	4	41.5	3.5
ASV374	537182	0.7	1.3	2.1
ASV1481	538843	4	8	14
ASV338	542211	10.5	26.5	49
ASV403	547550	6.66666666666667	6	12.3333333333333
ASV1312	554198	5	18	32.5
ASV233	558559	17.3333333333333	10.3333333333333	18.3333333333333
ASV1422	563202	10.5	10	18.5
ASV1203	564492	1	5.33333333333333	587.666666666667
ASV781	564557	1	9.33333333333333	195.666666666667
ASV241	565419	45.5	35	55
ASV1526	567459	1	3	11.5
ASV794	570335	12	11.5	4
ASV1503	571737	15	16.5	13
ASV411	575348	5.5	16	49.5
ASV1549	576076	1.5	8.5	11
ASV1144	577100	3.5	5.5	36.5
ASV27	585391	39	69	7
ASV1017	590029	3.5	3	34
ASV1467	590690	13	6.5	14.5
ASV180	593976	164	43.75	9.75
ASV57	618303	9.5	8	6.5
ASV1233	628385	10	58	72.5
ASV1752	652938	7.5	42	6.5
ASV329	657201	2.5	6.5	11.5
ASV1207	659760	13.3333333333333	15.3333333333333	210
ASV12	674796	573	292.5	126.5
